Parametry
Precyzja: 10^-3
Iteracje: 100
;real;bin;f(real)
0;-1.399;[0 0 1 0 1 0 0 1 1 0 0 1 1 1];1.1919669051449784
1;10.901;[1 1 1 0 1 1 1 0 0 1 1 0 1 0];1.7961956794793446
2;10.901;[1 1 1 0 1 1 1 0 0 1 1 0 1 0];1.7961956794793446
3;10.901;[1 1 1 0 1 1 1 0 0 1 1 0 1 0];1.7961956794793446
4;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
5;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
6;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
7;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
8;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
9;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
10;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
11;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
12;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
13;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
14;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
15;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
16;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
17;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
18;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
19;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
20;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
21;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
22;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
23;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
24;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
25;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
26;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
27;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
28;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
29;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
30;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
31;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
32;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
33;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
34;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
35;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
36;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
37;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
38;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
39;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
40;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
41;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
42;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
43;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
44;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
45;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
46;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
47;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
48;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
49;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
50;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
51;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
52;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
